epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.556,1.25021,1.57719,1.1304,0.9355,0.86241,0.92113,0.58285,1.26256,0.88596,1.21191,0.000665158,0.000665158,0.000665158
2,253.494,1.26794,0.88668,1.15626,0.92258,0.86105,0.91049,0.57674,1.28706,0.77707,1.19803,0.00130545,0.00130545,0.00130545
3,374.162,1.26332,0.78922,1.1575,0.95269,0.88063,0.92853,0.58383,1.29668,0.7561,1.19585,0.00191935,0.00191935,0.00191935
4,495.929,1.24325,0.74795,1.14426,0.9398,0.90318,0.93089,0.60129,1.24262,0.66701,1.15488,0.0018812,0.0018812,0.0018812
5,623.808,1.21208,0.69433,1.12405,0.96787,0.89191,0.9455,0.62965,1.19253,0.61591,1.1323,0.0018416,0.0018416,0.0018416
6,767.568,1.19457,0.66107,1.11532,0.95855,0.90797,0.94367,0.63117,1.18865,0.60791,1.12425,0.001802,0.001802,0.001802
7,903.809,1.19092,0.64385,1.11741,0.96591,0.90351,0.94633,0.64592,1.17838,0.56089,1.11945,0.0017624,0.0017624,0.0017624
8,1025.42,1.17139,0.63274,1.105,0.95053,0.90156,0.93684,0.63918,1.16512,0.59347,1.11069,0.0017228,0.0017228,0.0017228
9,1147.15,1.16502,0.61696,1.09635,0.97282,0.91116,0.95498,0.64275,1.17174,0.55531,1.1124,0.0016832,0.0016832,0.0016832
10,1272.21,1.14596,0.59507,1.08646,0.96148,0.90615,0.94976,0.65267,1.15379,0.53336,1.09691,0.0016436,0.0016436,0.0016436
11,1393.24,1.14802,0.59778,1.08777,0.96745,0.92073,0.95563,0.65652,1.15486,0.53314,1.09605,0.001604,0.001604,0.001604
12,1524.89,1.14557,0.58749,1.08277,0.96474,0.92235,0.958,0.66161,1.12948,0.50965,1.08424,0.0015644,0.0015644,0.0015644
13,1656.03,1.12735,0.56538,1.07849,0.98049,0.92984,0.96483,0.67104,1.13549,0.50607,1.08714,0.0015248,0.0015248,0.0015248
14,1785.5,1.1227,0.56461,1.0786,0.9773,0.91891,0.9594,0.66646,1.13118,0.51241,1.08995,0.0014852,0.0014852,0.0014852
15,1913.01,1.11917,0.55587,1.07181,0.97145,0.93015,0.95585,0.66425,1.12458,0.49385,1.0776,0.0014456,0.0014456,0.0014456
16,2045.98,1.11398,0.54979,1.06726,0.98568,0.91526,0.96259,0.6772,1.12273,0.50062,1.074,0.001406,0.001406,0.001406
17,2170.83,1.10703,0.54862,1.0662,0.97286,0.91207,0.95658,0.65187,1.15207,0.52812,1.09183,0.0013664,0.0013664,0.0013664
18,2303.7,1.11476,0.54274,1.06811,0.97526,0.93212,0.96519,0.67417,1.11027,0.49115,1.06653,0.0013268,0.0013268,0.0013268
19,2431.97,1.0897,0.52902,1.05413,0.98129,0.92574,0.96063,0.67578,1.1158,0.4745,1.07027,0.0012872,0.0012872,0.0012872
20,2557.7,1.09451,0.53217,1.05657,0.97493,0.93485,0.96472,0.68036,1.10508,0.46537,1.0631,0.0012476,0.0012476,0.0012476
21,2684.33,1.10371,0.5243,1.06545,0.97969,0.93075,0.96511,0.67898,1.10676,0.45884,1.06834,0.001208,0.001208,0.001208
22,2809.36,1.09803,0.51889,1.06129,0.98137,0.93571,0.96676,0.68258,1.10361,0.46413,1.0661,0.0011684,0.0011684,0.0011684
23,2934.72,1.08825,0.51095,1.05657,0.98651,0.93287,0.965,0.68958,1.09655,0.45463,1.05764,0.0011288,0.0011288,0.0011288
24,3059.83,1.07704,0.50693,1.05168,0.97553,0.93622,0.96609,0.69116,1.10184,0.45478,1.06612,0.0010892,0.0010892,0.0010892
25,3186.88,1.07373,0.50136,1.04921,0.98175,0.93622,0.96585,0.6811,1.11194,0.45331,1.06198,0.0010496,0.0010496,0.0010496
26,3314.69,1.06799,0.50159,1.04393,0.97907,0.94169,0.96826,0.69241,1.08751,0.44329,1.04889,0.00101,0.00101,0.00101
27,3441.73,1.07071,0.49189,1.0491,0.98526,0.93667,0.96806,0.69365,1.08643,0.43777,1.05491,0.0009704,0.0009704,0.0009704
28,3565.76,1.06644,0.49078,1.04244,0.97412,0.94321,0.9673,0.6962,1.0843,0.43716,1.04982,0.0009308,0.0009308,0.0009308
29,3687.93,1.05169,0.4802,1.03866,0.98447,0.9426,0.96772,0.68992,1.08703,0.43942,1.05477,0.0008912,0.0008912,0.0008912
30,3809.63,1.0532,0.48153,1.03933,0.98384,0.94328,0.97039,0.70146,1.07078,0.42704,1.04773,0.0008516,0.0008516,0.0008516
31,3932.4,1.04263,0.47272,1.03803,0.98151,0.94324,0.97054,0.69675,1.07513,0.42168,1.04461,0.000812,0.000812,0.000812
32,4057.22,1.04524,0.46922,1.03566,0.98105,0.94347,0.9677,0.69851,1.06933,0.42225,1.0441,0.0007724,0.0007724,0.0007724
33,4185.67,1.03819,0.4663,1.03809,0.98389,0.94576,0.9717,0.7026,1.06946,0.41856,1.04422,0.0007328,0.0007328,0.0007328
34,4317.77,1.04647,0.46549,1.03581,0.9719,0.94548,0.96924,0.70156,1.07326,0.41778,1.04784,0.0006932,0.0006932,0.0006932
35,4443.38,1.04459,0.46705,1.03159,0.98142,0.94351,0.96921,0.70091,1.06902,0.41101,1.03974,0.0006536,0.0006536,0.0006536
36,4565.99,1.02956,0.45607,1.03052,0.98839,0.94351,0.97443,0.70783,1.06527,0.40936,1.04061,0.000614,0.000614,0.000614
37,4688.66,1.03455,0.45813,1.03489,0.98899,0.94164,0.97162,0.70311,1.06438,0.41477,1.03773,0.0005744,0.0005744,0.0005744
38,4810.87,1.02685,0.45029,1.03103,0.98624,0.94707,0.97413,0.70631,1.06476,0.41082,1.03546,0.0005348,0.0005348,0.0005348
39,4934.01,1.02036,0.44717,1.02317,0.98251,0.94692,0.97301,0.70522,1.06567,0.40271,1.04412,0.0004952,0.0004952,0.0004952
40,5056.91,1.00523,0.44041,1.01792,0.98814,0.94761,0.97347,0.7052,1.05898,0.39736,1.03737,0.0004556,0.0004556,0.0004556
41,5221.82,1.00852,0.40049,1.03287,0.98667,0.94387,0.97083,0.69936,1.05694,0.40317,1.03451,0.000416,0.000416,0.000416
42,5342.17,1.01228,0.3985,1.0312,0.9858,0.94891,0.97446,0.70347,1.06202,0.40264,1.03814,0.0003764,0.0003764,0.0003764
43,5462.5,0.99619,0.39153,1.02606,0.98667,0.94419,0.97102,0.70684,1.05986,0.40035,1.03452,0.0003368,0.0003368,0.0003368
